192.168.159.138	6889
192.168.159.138	26990
192.168.159.138	5995
192.168.159.138	28953
192.168.159.138	10741
192.168.159.138	12070
192.168.159.138	26863
192.168.159.138	11706
192.168.159.138	32364
192.168.159.138	26006
192.168.159.138	1994
192.168.159.138	10661
192.168.159.138	25245
192.168.159.138	22375
192.168.159.138	16813
192.168.159.138	7175
192.168.159.138	18393
192.168.159.138	26971
192.168.159.138	28161
192.168.159.138	30117
192.168.159.138	17428
192.168.159.138	30060
192.168.159.138	1035
192.168.159.138	11208
192.168.159.138	30282
192.168.159.138	26917
192.168.159.138	27110
192.168.159.138	17707
192.168.159.138	10767
192.168.159.138	20458
192.168.159.138	26869
192.168.159.138	3392
192.168.159.138	15844
192.168.159.138	25
192.168.159.138	2674
192.168.159.138	25469
192.168.159.138	8077
192.168.159.138	7225
192.168.159.138	1663
192.168.159.138	25160
192.168.159.138	13151
192.168.159.138	26645
192.168.159.138	443
192.168.159.138	22315
192.168.159.138	20970
192.168.159.138	6598
192.168.159.138	4181
192.168.159.138	31089
192.168.159.138	23546
192.168.159.138	27540
192.168.159.138	8729
192.168.159.138	20534
192.168.159.138	26472
192.168.159.138	19888
192.168.159.138	13637
192.168.159.138	29002
192.168.159.138	15758
192.168.159.138	10219
192.168.159.138	32009
192.168.159.138	18003
192.168.159.138	30627
192.168.159.138	10233
192.168.159.138	17225
192.168.159.138	27209
192.168.159.138	4297
192.168.159.138	5442
192.168.159.138	10523
192.168.159.138	12300
192.168.159.138	22723
192.168.159.138	4298
192.168.159.138	11025
192.168.159.138	10095
192.168.159.138	1264
192.168.159.138	12188
192.168.159.138	13764
192.168.159.138	11693
192.168.159.138	16690
192.168.159.138	22020
192.168.159.138	19287
192.168.159.138	15720
192.168.159.138	21345
192.168.159.138	10295
192.168.159.138	26945
192.168.159.138	19828
192.168.159.138	17546
192.168.159.138	17521
192.168.159.138	19740
192.168.159.138	4445
192.168.159.138	27732
192.168.159.138	28207
192.168.159.138	22430
192.168.159.138	10256
192.168.159.138	5277
192.168.159.138	25996
192.168.159.138	1804
192.168.159.138	5249
192.168.159.138	23158
192.168.159.138	17801
192.168.159.138	9083
192.168.159.138	23445
192.168.159.138	27332
192.168.159.138	28961
192.168.159.138	8531
192.168.159.138	20707
192.168.159.138	31017
192.168.159.138	22933
192.168.159.138	32236
